1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Date
,87173.0,,,,13432.0,28585.0,115709.0,,4571.0,,65048.0,,6073.0,1208.0,4.0,6187.0,,,28279.0,2020-04-01
,102849.0,,,,12463.0,19686.0,98337.0,,4100.0,,67810.0,,5459.0,963.0,-4.0,5301.0,,,22704.0,2021-01-01
,126375.0,,,,13452.0,44724.0,147681.0,,4830.0,,90928.0,,6736.0,1698.0,36.0,7172.0,,,24098.0,2021-02-01
906.0,128629.0,3651.0,,,14581.0,37781.0,185327.0,177.0,5472.0,,148547.0,,12213.0,1833.0,305.0,7582.0,,,31461.0,2021-03-01
941.0,179125.0,10409.0,,,15831.0,31905.0,194170.0,270.0,7391.0,,228945.0,,13883.0,2423.0,1093.0,10964.0,,,47009.0,2021-04-01
663.0,138750.0,10575.0,,,13864.0,37888.0,220386.0,850.0,7894.0,,204184.0,,27045.0,2602.0,2360.0,11501.0,,,35145.0,2022-01-01
769.0,208760.0,17934.0,9576.0,,15012.0,32689.0,204604.0,2717.0,7101.0,222.0,245453.0,15.0,15162.0,2341.0,4317.0,14980.0,,,45978.0,2022-02-01
3565.0,116126.0,15104.0,46029.0,,11349.0,30442.0,194538.0,3833.0,6943.0,1549.0,245803.0,108.0,13855.0,1830.0,4343.0,9158.0,,,34518.0,2022-03-01
1020.0,150803.0,15525.0,109452.0,26769.0,10422.0,27028.0,185160.0,4279.0,6126.0,4619.0,136283.0,1972.0,12351.0,1567.0,4094.0,11601.0,13260.0,1227.0,40605.0,2022-04-01
1670.0,82163.0,6938.0,54955.0,33670.0,8726.0,21246.0,147284.0,6089.0,4616.0,4764.0,76020.0,2427.0,8933.0,1210.0,2756.0,3788.0,21667.0,24186.0,26925.0,2023-01-01
38.0,82408.0,9595.0,60478.0,74853.0,10185.0,21149.0,136997.0,8063.0,4680.0,5015.0,51586.0,2841.0,5909.0,1659.0,3126.0,5338.0,30498.0,7680.0,23635.0,2023-02-01
2141.0,67132.0,9231.0,62708.0,80944.0,8645.0,10584.0,100623.0,2535.0,4397.0,6656.0,53431.0,2096.0,6643.0,1311.0,2808.0,5595.0,40505.0,16772.0,17799.0,2023-03-01
